# time_ps largest_cluster_rg_nm
3145000.000000 9.7252196507
3146000.000000 10.2065946665
3147000.000000 5.0872911455
3148000.000000 2.7839533606
3149000.000000 6.5213828431
3150000.000000 3.5955953939
3151000.000000 2.7788110365
3152000.000000 7.9387324889
3153000.000000 9.2490408459
3154000.000000 3.8206500369
3155000.000000 6.7952760044
3156000.000000 4.7277843668
3157000.000000 5.1153845854
3158000.000000 3.0838036000
3159000.000000 7.4101557096
3160000.000000 3.8828017576
3161000.000000 3.4164861613
3162000.000000 9.2539548328
3163000.000000 3.4049941591
3164000.000000 2.6662303342
3165000.000000 14.6082422585
3166000.000000 15.3854783940
3167000.000000 6.8343087435
3168000.000000 6.7218803905
3169000.000000 4.0420293848
3170000.000000 5.5115739371
3171000.000000 5.5653604075
3172000.000000 4.3268298802
3173000.000000 2.7846865391
3174000.000000 2.0706987175
3175000.000000 2.1715114166
3176000.000000 5.5100804360
3177000.000000 3.6524002934
3178000.000000 5.2549441497
3179000.000000 7.4305149407
3180000.000000 6.0145087780
3181000.000000 10.9085244046
3182000.000000 6.6958451924
3183000.000000 7.7043064158
3184000.000000 8.4003938900
3185000.000000 8.4938132001
3186000.000000 7.9736846872
3187000.000000 8.2162063100
3188000.000000 8.9633197254
3189000.000000 6.8642603047
3190000.000000 5.6391278270
3191000.000000 6.2310734669
3192000.000000 7.3239404428
3193000.000000 6.2030357015
3194000.000000 7.4133943853
3195000.000000 6.1435108195
3196000.000000 10.1641944964
3197000.000000 8.5825141931
3198000.000000 9.4816218845
3199000.000000 9.2890386049
3200000.000000 9.4192032723
3201000.000000 7.4589904837
3202000.000000 10.2037608004
3203000.000000 5.4309517641
3204000.000000 7.1709875125
3205000.000000 7.7693313487
3206000.000000 9.5450667329
3207000.000000 9.3013127332
3208000.000000 12.6482491894
3209000.000000 10.4581828774
3210000.000000 9.0189085383
3211000.000000 9.0022107021
3212000.000000 7.4922433059
3213000.000000 4.8491378944
3214000.000000 5.6820335495
3215000.000000 6.9908856638
3216000.000000 6.0031102932
3217000.000000 6.0776825740
3218000.000000 7.0888177461
3219000.000000 6.5923711966
3220000.000000 8.4420894039
3221000.000000 5.1808929653
3222000.000000 5.1715007856
3223000.000000 3.8788111870
3224000.000000 5.0907944258
3225000.000000 7.4280455793
3226000.000000 11.1513427034
3227000.000000 10.3635377498
3228000.000000 6.6725393707
3229000.000000 7.9120960623
3230000.000000 6.8573890714
3231000.000000 8.3338748759
3232000.000000 9.9400613077
3233000.000000 11.2681392461
3234000.000000 5.8772279648
3235000.000000 10.8952561083
3236000.000000 8.4780293822
